 , , ,Sum (From 3 PM to 7 PM every 15 minutes),Sum (From 5 AM to 9 AM every 15 minutes)
120,Volume,8/1/2017,1900,1538
120,Volume,8/2/2017,2055,1640
120,Volume,8/3/2017,1765,1572
120,Volume,8/4/2017,1918,1659
120,Volume,8/5/2017,2329,986
120,Volume,8/6/2017,2056,701
120,Volume,8/7/2017,1948,1502
120,Volume,8/8/2017,1831,1544
120,Volume,8/9/2017,1873,1666
120,Volume,8/10/2017,1594,1696
120,Volume,8/11/2017,1715,1631
120,Volume,8/12/2017,2503,961
120,Volume,8/13/2017,1907,676
120,Volume,8/14/2017,1721,1525
120,Volume,8/15/2017,1810,1617
120,Volume,8/16/2017,1828,1579
120,Volume,8/17/2017,1941,1600
120,Volume,8/18/2017,1856,1545
120,Volume,8/19/2017,2305,987
120,Volume,8/20/2017,2291,652
120,Volume,8/21/2017,1500,1491
120,Volume,8/22/2017,1833,1577
120,Volume,8/23/2017,1586,1515
120,Volume,8/24/2017,1637,1734
120,Volume,8/25/2017,1745,1595
120,Volume,8/26/2017,2227,1088
120,Volume,8/27/2017,2420,980
120,Volume,8/28/2017,1812,1679
120,Volume,8/29/2017,1965,1690
120,Volume,8/30/2017,1928,1644
120,Volume,8/31/2017,2082,1615
120,Volume,9/1/2017,1908,1699
120,Volume,9/2/2017,2538,1197
120,Volume,9/3/2017,2416,878
120,Volume,9/4/2017,2316,703
120,Volume,9/5/2017,2088,1489
120,Volume,9/6/2017,2151,1565
120,Volume,9/7/2017,1988,1667
120,Volume,9/8/2017,1912,1594
120,Volume,9/9/2017,2499,1087
120,Volume,9/10/2017,2436,742
120,Volume,9/11/2017,2240,1529
120,Volume,9/12/2017,1998,1522
120,Volume,9/13/2017,2133,1628
120,Volume,9/14/2017,1865,1639
120,Volume,9/15/2017,1777,1552
120,Volume,9/16/2017,2607,1079
120,Volume,9/17/2017,2403,714
120,Volume,9/18/2017,1978,1431
120,Volume,9/19/2017,1969,1584
120,Volume,9/20/2017,1759,1583
120,Volume,9/21/2017,1658,1476
120,Volume,9/22/2017,1774,1455
120,Volume,9/23/2017,2401,1115
120,Volume,9/24/2017,2425,853
120,Volume,9/25/2017,2105,1496
120,Volume,9/26/2017,1959,1386
120,Volume,9/27/2017,1747,1413
120,Volume,9/28/2017,1627,1439
120,Volume,9/29/2017,1624,1393
120,Volume,9/30/2017,842,480
120,Volume,8/1/2018,1267,884
120,Volume,8/2/2018,1179,971
120,Volume,8/3/2018,1366,1018
120,Volume,8/4/2018,688,295
120,Volume,8/5/2018,605,220
120,Volume,8/6/2018,1172,960
120,Volume,8/7/2018,1264,1011
