1,Date,PM_RushHour,AM_RushHour
120,10/3/2018,1485,1043
121,10/3/2018,1764,587
123,10/3/2018,300,257
129,10/3/2018,1103,1909
141,10/3/2018,0,0
146,10/3/2018,645,720
162,10/3/2018,4362,4990
163,10/3/2018,547,571
168,10/3/2018,2684,1110
169,10/3/2018,3492,2493
170,10/3/2018,3364,1775
171,10/3/2018,189,278
2133,10/3/2018,2155,2838
2134,10/3/2018,1797,3014
2137,10/3/2018,594,502
2138,10/3/2018,963,1299
2144,10/3/2018,3952,1167
2145,10/3/2018,2426,1942
2146,10/3/2018,1229,691
2152,10/3/2018,3313,945
2163,10/3/2018,2806,1318
2171,10/3/2018,0,0
2172,10/3/2018,985,911
2177,10/3/2018,30,0
2705,10/3/2018,2875,1799
2709,10/3/2018,1408,653
2713,10/3/2018,2398,1126
2717,10/3/2018,982,443
2721,10/3/2018,980,1025
2725,10/3/2018,1006,623
2729,10/3/2018,1321,636
5326,10/3/2018,2159,2021
5327,10/3/2018,0,0
6573,10/3/2018,0,0
800,10/3/2018,1662,814
861,10/3/2018,3022,1788
863,10/3/2018,2821,1463
866,10/3/2018,1342,862
975,10/3/2018,2696,2409
S256,10/3/2018,16654,5947
S328,10/3/2018,7072,5771
S43,10/3/2018,6649,6557
S45,10/3/2018,10399,8279
S46,10/3/2018,12725,9238
S47,10/3/2018,12802,9254
S48,10/3/2018,8564,8778
S49,10/3/2018,5262,5585
S50,10/3/2018,5530,5855
S51,10/3/2018,12188,9904
S52,10/3/2018,16104,13718
S53,10/3/2018,15731,13473
S54,10/3/2018,35020,30213
S556,10/3/2018,0,0
S557,10/3/2018,13824,12572
S56,10/3/2018,11618,10522
S565,10/3/2018,0,0
S566,10/3/2018,12362,9290
S568,10/3/2018,4547,2623
S569,10/3/2018,22363,10218
S57,10/3/2018,12865,12792
S570,10/3/2018,17160,8295
S571,10/3/2018,17999,8852
S572,10/3/2018,15966,7468
S573,10/3/2018,11020,4599
S574,10/3/2018,11584,5150
S575,10/3/2018,16202,7178
S577,10/3/2018,14018,18382
S58,10/3/2018,9790,10986
S587,10/3/2018,8880,4317
S59,10/3/2018,0,0
S60,10/3/2018,16617,17008
S61,10/3/2018,0,0
S62,10/3/2018,4689,3630
S63,10/3/2018,0,0
S64,10/3/2018,0,0
S652,10/3/2018,16304,7534
S653,10/3/2018,16466,7707
S654,10/3/2018,17851,8522
S656,10/3/2018,16527,7823
S657,10/3/2018,17487,8796
S659,10/3/2018,16629,8775
S664,10/3/2018,18085,9445
S685,10/3/2018,12115,19379
