 , , ,Sum (From 3 PM to 7 PM every 15 minutes),Average (From 3 PM to 7 PM every 15 minutes),Sum (From 5 AM to 9 AM every 15 minutes),Average (From 5 AM to 9 AM every 15 minutes)
104,Volume,8/1/2017,1452,90.75,946,59.125
104,Volume,8/2/2017,1491,93.1875,929,58.0625
104,Volume,8/3/2017,1577,98.5625,837,52.3125
104,Volume,8/4/2017,1396,87.25,1120,70
104,Volume,8/7/2017,1440,90,977,61.0625
104,Volume,8/8/2017,1456,91,920,57.5
104,Volume,8/9/2017,1299,81.1875,912,57
104,Volume,8/10/2017,1387,86.6875,1078,67.375
104,Volume,8/11/2017,1474,92.125,1165,72.8125
104,Volume,8/14/2017,1447,90.4375,1052,65.75
104,Volume,8/15/2017,1428,89.25,828,51.75
104,Volume,8/16/2017,1526,95.375,975,60.9375
104,Volume,8/17/2017,1790,111.875,1005,62.8125
104,Volume,8/18/2017,1553,97.0625,1187,74.1875
104,Volume,8/21/2017,1328,83,1069,66.8125
104,Volume,8/22/2017,1516,94.75,996,62.25
104,Volume,8/23/2017,1669,104.3125,928,58
104,Volume,8/24/2017,1430,89.375,1034,64.625
104,Volume,8/25/2017,1480,92.5,1026,64.125
104,Volume,8/28/2017,1451,90.6875,1025,64.0625
104,Volume,8/29/2017,1491,93.1875,965,60.3125
104,Volume,8/30/2017,1532,95.75,968,60.5
104,Volume,8/31/2017,1508,94.25,994,62.125
104,Volume,9/1/2017,1589,99.3125,1206,75.375
104,Volume,9/4/2017,1617,101.0625,457,28.5625
104,Volume,9/5/2017,1621,101.3125,1078,67.375
104,Volume,9/6/2017,1584,99,1004,62.75
104,Volume,9/7/2017,1555,97.1875,1123,70.1875
104,Volume,9/8/2017,1607,100.4375,1152,72
104,Volume,9/11/2017,1670,104.375,991,61.9375
104,Volume,9/12/2017,1568,98,1035,64.6875
104,Volume,9/13/2017,1605,100.3125,912,57
104,Volume,9/14/2017,1458,91.125,960,60
104,Volume,9/15/2017,1649,103.0625,1079,67.4375
104,Volume,9/18/2017,1624,101.5,1077,67.3125
104,Volume,9/19/2017,1740,108.75,1043,65.1875
