1,Label,Type,
S685,SB 35W Before 694,Flow,1
486,EXIT to WB 694,Exit,2
S686,SB 35W After 694 EXITS and WB 694 Ent,Flow,4
738,EXIT to EB 694,Exit,5
799,ENT from EB 694,On,6
2821,EXIT to 5th st. NW,Exit,7
S691,SB 35W betwee 5th st. NW ENT and EXIT,Flow,8
2825,ENT from 5th St. NW,On,9
S692,SB 35W Before HWY 88 Exit,Flow,10
2829,EXIT to HWY 88,Exit,11
S693,SB 35W after HWY 88 Exit,Flow,12
2833,EXIT to Cty Rd D,Exit,13
2837,ENT from Cty Rd D,On,14
S695,SB 35W,Flow,15
2841,EXIT to Cty Rd C,Exit,16
2845,ENT from Cty Rd C,On,17
S697,SB 35W after Cty Rd C,Flow,18
2192,Exit to HWY 36 WB,Exit,19
2193,Exit to Cleveland,Exit,20
S618,ENT from WB HWY36,On,21
S576,SB 35W pre HWY 36 merge,Flow,22
2197,Exit to HWY 280 SB,Exit,23
2196,Exit to HWY 280 SB,Exit,24
S577,SB 35W / 280,Flow,25
S578,SB 35W / Industrial Blvd,Flow,26
S579,SB 35W / Honeywell,Flow,27
S580,SB 35W / Quarry,Flow,28
S570,SB 35W / Broadway,Flow,29
S582,SB 35W / Hennepin,Flow,30
S583,SB 35W / 4th St.,Flow,31
2228,EXIT to 4th St.,Exit,32
S584,Station - 35W south of exit for Wash,Flow,33
2233,ENT from Washington,On,34
2234,ENT from S 3rd St (U of MN West Bank),On,35
2245,ENT from S 3rd St (U of MN West Bank),On,36
2235,ENT from South 4th St. (near vikings stadium),On,37
S585,35W down town mpls (southbount),Flow,38
S559,ENT 94 WestBound merging with 35W,On,39
S560,Exit for either 94 or downtown mpls,Exit,40
S1943,Exit 35 for 94WB,Exit,41
S3,35W after turning south past mpls,Flow,42
S2,ENT 35 SB from downtown mpls,Exit,43
S4,SB 35W 26th St.,Flow,44
S5,SB 35W 28th St.,Flow,45
S6,SB 35W pre-Lake Street,Flow,46
96,ENT from Lake Street,On,47
135,EXIT to 35th street,Exit,48
S7,SB 35W  post 35th st. exit,Flow,49
97,ENT from 35th st,On,50
S8,35W south of 35th st enterance,Flow,51
S9,35W south 42nd street,Flow,52
136,Exit to 46th st,Exit,53
S10,SB 35W after 46th st exit,Flow,54
98,ENT from 46th st,On,55
137,EXIT to Diamond Lake Rr,Exit,56
S14,SW 35W post diamond lake road exit,Flow,57
99,ENT from Diamond Lake Rd,On,58
138,EXIT to East 60th St.,Exit,59
S1718,EXIT to HWY 62,Exit,60
S15,SB 35W NOT exiting on 62,Flow,61
S17,SB 35W AND WB 62 Merged,Flow,62
S18,SB 35W after 62 exit,Flow,63
143,EXIT to W 66th st,Exit,64
S19,SB 35W after W 66th st exit,Flow,65
S20,SB 35W west 70th St.,Flow,66
S21,SB 35W and 73rd st.,Flow,67
S1148,positioned at the same spot as S21,Flow,68
144,EXIT to 76th St.,Exit,69
867,EXIT to 494 West,Exit,70
S23,SB 35W after 494 WB Exit,Flow,71
104,ENT from WB 494,On,72
862,EXIT to 494 East,Exit,73
105,ENT from EB 494,On,74
S13,SB 35W after 494 EB Exit,Flow,75
SS24,SB 35W After 494 Interchange,Flow,76
