,Station,Heading,Time,Order,Speed,Flow,Lat,Lng
55,S10,SB,Thu Oct 11 17:46:29 CDT 2018,54.0,70,810,44.92003,-93.27488
2,S1148,SB,Thu Oct 11 17:46:29 CDT 2018,68.0,0,0,44.87088,-93.29904
56,S13,SB,Thu Oct 11 17:46:29 CDT 2018,75.0,79,1260,44.85991,-93.29856
58,S14,SB,Thu Oct 11 17:46:29 CDT 2018,57.0,65,1080,44.90227,-93.27509
57,S15,SB,Thu Oct 11 17:46:29 CDT 2018,61.0,69,780,44.89549,-93.27512
59,S17,SB,Thu Oct 11 17:46:29 CDT 2018,62.0,60,840,44.89038,-93.28818
54,S1718,SB,Thu Oct 11 17:46:29 CDT 2018,60.0,61,720,44.89542,-93.27571
61,S18,SB,Thu Oct 11 17:46:29 CDT 2018,63.0,64,1080,44.8899,-93.29425
60,S19,SB,Thu Oct 11 17:46:29 CDT 2018,65.0,53,1800,44.88238,-93.29604
1,S1943,SB,Thu Oct 11 17:46:29 CDT 2018,41.0,0,0,44.96603,-93.26861
29,S2,SB,Thu Oct 11 17:46:29 CDT 2018,43.0,0,0,44.96259000000001,-93.26997
62,S20,SB,Thu Oct 11 17:46:29 CDT 2018,66.0,72,900,44.87647,-93.29829
63,S21,SB,Thu Oct 11 17:46:29 CDT 2018,67.0,71,1200,44.87106,-93.29904
64,S23,SB,Thu Oct 11 17:46:29 CDT 2018,71.0,84,1200,44.86282,-93.29875
53,S256,NB,Thu Oct 11 17:46:29 CDT 2018,40.0,72,780,44.97447,-93.2487
30,S3,SB,Thu Oct 11 17:46:29 CDT 2018,42.0,0,0,44.96214000000001,-93.26949
0,S328,NB,Thu Oct 11 17:46:29 CDT 2018,71.0,35,2160,44.89021,-93.27616
31,S4,SB,Thu Oct 11 17:46:29 CDT 2018,44.0,0,0,44.95512,-93.27083
65,S43,NB,Thu Oct 11 17:46:29 CDT 2018,84.0,72,600,44.85709,-93.29809
67,S45,NB,Thu Oct 11 17:46:29 CDT 2018,79.0,69,1320,44.86681,-93.29888
66,S46,NB,Thu Oct 11 17:46:29 CDT 2018,78.0,74,1620,44.87102,-93.2987
69,S47,NB,Thu Oct 11 17:46:29 CDT 2018,77.0,63,2160,44.87642,-93.29794
68,S48,NB,Thu Oct 11 17:46:29 CDT 2018,75.0,76,1440,44.88241,-93.29573
70,S49,NB,Thu Oct 11 17:46:29 CDT 2018,73.0,68,600,44.88792,-93.29581
32,S5,SB,Thu Oct 11 17:46:29 CDT 2018,45.0,0,0,44.95169,-93.27377
72,S50,NB,Thu Oct 11 17:46:29 CDT 2018,72.0,63,1020,44.89026,-93.28816
71,S51,NB,Thu Oct 11 17:46:29 CDT 2018,70.0,59,880,44.89041,-93.27683
74,S52,NB,Thu Oct 11 17:46:29 CDT 2018,69.0,71,1020,44.89477,-93.2748
