,Name,Date,DirectionLocation,Road,,Event
8,EB,I-694,@ Mississippi River,HAZARD
1,2018100217261325,Tue Oct 02 17:26:13 CDT 2018,SB,I-35W,NA,ROADWORK
2,2018100218151677,Tue Oct 02 18:15:16 CDT 2018,SB,I-35W,@ Co Rd E,ROADWORK
3,2018100218161579,Tue Oct 02 18:16:15 CDT 2018,NB,I-35W,@ Co Rd J,ROADWORK
4,2018100219595578,Tue Oct 02 19:59:55 CDT 2018,SB,I-35W,NA,ROADWORK
5,2018100219492669,Tue Oct 02 19:49:26 CDT 2018,EB,I-94,@ T.H.280,ROADWORK
6,2018100301051236,Wed Oct 03 01:05:12 CDT 2018,SB,I-35,NA,CRASH
7,L004_9946476,Tue Oct 02 23:01:32 CDT 2018,SB,T.H.77,@ Killebrew Dr,CRASH
8,2018100221062434,Tue Oct 02 21:06:24 CDT 2018,NB,I-35W,@ University Ave,ROADWORK
9,L004_9946465,Tue Oct 02 22:39:42 CDT 2018,NB,T.H.47,NA,CRASH
10,2018100218424618,Tue Oct 02 18:42:46 CDT 2018,NB,I-35W,@ Cliff Rd,ROADWORK
11,2018100222201222,Tue Oct 02 22:20:12 CDT 2018,WB,T.H.10,@ Armstrong Blvd,HAZARD
12,2018100223180226,Tue Oct 02 23:18:02 CDT 2018,EB,T.H.13,@ Blackhawk Rd,CRASH
13,2018100219022393,Tue Oct 02 19:02:23 CDT 2018,NB,I-35W,@ T.H.36 EB,ROADWORK
14,2018100221181451,Tue Oct 02 21:18:14 CDT 2018,EB,I-94,@ Hiawatha Ave,ROADWORK
0,L004_9946513,Tue Oct 02 23:42:42 CDT 2018,EB,I-694,@ Mississippi River,HAZARD
1,2018100217261325,Tue Oct 02 17:26:13 CDT 2018,SB,I-35W,NA,ROADWORK
2,2018100218151677,Tue Oct 02 18:15:16 CDT 2018,SB,I-35W,@ Co Rd E,ROADWORK
3,2018100218161579,Tue Oct 02 18:16:15 CDT 2018,NB,I-35W,@ Co Rd J,ROADWORK
4,2018100219595578,Tue Oct 02 19:59:55 CDT 2018,SB,I-35W,NA,ROADWORK
5,2018100219492669,Tue Oct 02 19:49:26 CDT 2018,EB,I-94,@ T.H.280,ROADWORK
6,2018100301051236,Wed Oct 03 01:05:12 CDT 2018,SB,I-35,NA,CRASH
7,L004_9946476,Tue Oct 02 23:01:32 CDT 2018,SB,T.H.77,@ Killebrew Dr,CRASH
8,2018100221062434,Tue Oct 02 21:06:24 CDT 2018,NB,I-35W,@ University Ave,ROADWORK
9,L004_9946465,Tue Oct 02 22:39:42 CDT 2018,NB,T.H.47,NA,CRASH
10,2018100218424618,Tue Oct 02 18:42:46 CDT 2018,NB,I-35W,@ Cliff Rd,ROADWORK
11,2018100222201222,Tue Oct 02 22:20:12 CDT 2018,WB,T.H.10,@ Armstrong Blvd,HAZARD
12,2018100223180226,Tue Oct 02 23:18:02 CDT 2018,EB,T.H.13,@ Blackhawk Rd,CRASH
13,2018100219022393,Tue Oct 02 19:02:23 CDT 2018,NB,I-35W,@ T.H.36 EB,ROADWORK
14,2018100221181451,Tue Oct 02 21:18:14 CDT 2018,EB,I-94,@ Hiawatha Ave,ROADWORK
0,2018100720031226,Sun Oct 07 20:03:12 CDT 2018,WB,I-94,NA,CRASH
1,L004_9956092,Sun Oct 07 19:13:02 CDT 2018,WB,I-94,@ Brooklyn Blvd,CRASH
2,L004_9956228,Sun Oct 07 21:11:12 CDT 2018,NB,T.H.52,@ Concord St,STALL
