,Name,Date,Direction,Road,Location,Event
8,WB,T.H.62,@ T.H.100 NB,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,L004_9954839,Sun Oct 07 04:33:02 CDT 2018,NB,I-35,NA,HAZARD
4,2018100620001226,Sat Oct 06 20:00:12 CDT 2018,EB,T.H.212,@ Shady Oak Rd,ROADWORK
5,L004_9954868,Sun Oct 07 06:23:52 CDT 2018,NB,I-35W,@ T.H.36 EB,STALL
6,L004_9954865,Sun Oct 07 06:16:14 CDT 2018,NB,I-35,@ Bridge St,HAZARD
7,2018100620005213,Sat Oct 06 20:00:52 CDT 2018,EB,T.H.62,@ Rowland Rd,ROADWORK
8,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9954815,Sun Oct 07 03:35:22 CDT 2018,WB,T.H.62,@ T.H.100 NB,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,L004_9954839,Sun Oct 07 04:33:02 CDT 2018,NB,I-35,NA,HAZARD
4,2018100620001226,Sat Oct 06 20:00:12 CDT 2018,EB,T.H.212,@ Shady Oak Rd,ROADWORK
5,L004_9954868,Sun Oct 07 06:23:52 CDT 2018,NB,I-35W,@ T.H.36 EB,STALL
6,L004_9954865,Sun Oct 07 06:16:14 CDT 2018,NB,I-35,@ Bridge St,HAZARD
7,2018100620005213,Sat Oct 06 20:00:52 CDT 2018,EB,T.H.62,@ Rowland Rd,ROADWORK
8,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9954815,Sun Oct 07 03:35:22 CDT 2018,WB,T.H.62,@ T.H.100 NB,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,L004_9954839,Sun Oct 07 04:33:02 CDT 2018,NB,I-35,NA,HAZARD
4,2018100620001226,Sat Oct 06 20:00:12 CDT 2018,EB,T.H.212,@ Shady Oak Rd,ROADWORK
5,L004_9954868,Sun Oct 07 06:23:52 CDT 2018,NB,I-35W,@ T.H.36 EB,STALL
6,L004_9954865,Sun Oct 07 06:16:14 CDT 2018,NB,I-35,@ Bridge St,HAZARD
7,2018100620005213,Sat Oct 06 20:00:52 CDT 2018,EB,T.H.62,@ Rowland Rd,ROADWORK
8,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9954815,Sun Oct 07 03:35:22 CDT 2018,WB,T.H.62,@ T.H.100 NB,CRASH
1,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
2,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
3,L004_9954839,Sun Oct 07 04:33:02 CDT 2018,NB,I-35,NA,HAZARD
4,2018100620001226,Sat Oct 06 20:00:12 CDT 2018,EB,T.H.212,@ Shady Oak Rd,ROADWORK
