,Label,Detectors,Lat,Lng
-121,46.74828,-92.14647
1,I-35 NB @ Oredocks,C35-123,46.75367,-92.13626
2,I-35 NB @ 29th Ave W,C35-125,46.75718,-92.1305
3,T.H.55 WB @ Winnetka Ave,C5530,44.98319,-93.38063
4,T.H.55 WB @ Douglas Dr,C5533,44.98517,-93.36002
5,T.H.10 WB (Royalton),C30079,45.83383,-94.29713
6,I-35 NB @ 22nd Ave W,C35-132,46.76284,-92.12503
7,I-35 SB @ T.H.53,C35-136,46.76536,-92.12406
8,I-35 SB @ 22nd Ave W,C35-131,46.76302,-92.12559
9,T.H.169 NB N of T.H.41,C30061,44.77227,-93.56966
10,I-35 SB @ Lemond Rd,D6-C130,44.07152,-93.25606
11,I-35 NB @ U.S.14,D6-C131,44.05876,-93.24958
12,I-35 NB @ Central Ave,C35-100,46.73577,-92.16522
13,I-35,D6-C132,44.04093,-93.24848
14,I-35 (37.90),D6-C133,44.02639,-93.24663
15,I-35 (51.00),D6-C120,44.21312,-93.27404
16,T.H.55 WB @ Clydesdale Trail,C5520,45.04418,-93.53251
17,I-35 @ Co Rd 34,D6-C127,44.11016,-93.24588
18,I-35 S of Hoffman Dr,D6-C128,44.09264,-93.24445
19,I-35 @ Co Rd 9,D6-C125,44.13852,-93.24925
20,I-35 @ Co Rd 12,D6-C123,44.17324,-93.26273
21,T.H.55 WB @ Industrial Park Blvd,C5523,45.00265,-93.44468
22,I-35 (46.50),D6-C124,44.15039,-93.2571
23,I-35 (50.00),D6-C121,44.19875,-93.2553
24,T.H.55 WB @ W Medicine Lake Dr,C5525,44.98856,-93.42384
25,I-35 (49.00),D6-C122,44.18611,-93.25581
26,I-35 SB @ Bridge St,D6-C129,44.08432,-93.24724
27,I-35 NB (55.60),D6-C116,44.27583,-93.29767
28,I-35 SB (54.00),D6-C117,44.25415,-93.28697
29,I-35 SB (56.90),D6-C114,44.29106,-93.30964
30,I-35 SB (56.40),D6-C115,44.28106,-93.30764
31,I-35 SB (58.70),D6-C112,44.31729,-93.30688
32,I-35 SB (57.90),D6-C113,44.3043,-93.30977
33,I-35 NB (60.00),D6-C110,44.33251,-93.29303
34,I-35 NB (59.20),D6-C111,44.32078,-93.29914
35,I-35 NB (53.00),D6-C118,44.24056,-93.2807
36,I-35 SB (52.00),D6-C119,44.22559,-93.277
37,I-90 WB @ U.S.61,D6-C340,43.85737,-91.30381
38,I-35 NB @ 9th Ave W,C35-177,46.7786,-92.10449
39,I-35 SB @ Allworth Bldg,C35-179,46.78345,-92.10182
40,I-35 SB (63.30),D6-C105,44.38111,-93.29528
41,I-35 NB (63.20),D6-C106,44.37987,-93.29271
42,I-35 NB (64.70),D6-C103,44.39984,-93.29246
43,I-35 NB (64.00),D6-C104,44.39055,-93.29236
44,I-35 NB (66.70),D6-C101,44.42878,-93.29193
45,I-35 NB (65.70),D6-C102,44.41383,-93.29226
46,U.S.61 NB S of I-90,D6-C341,43.85304,-91.30078
47,I-35 NB (68.10),D6-C100,44.44806,-93.29158
48,I-35 SB (61.10),D6-C109,44.34824,-93.29306
49,I-35 NB (62.60),D6-C107,44.37079,-93.29306
50,I-35 NB (62.00),D6-C108,44.35719,-93.29272
51,I-394 EB @ Hampshire Ave,C909,44.97115,-93.3652
52,T.H.62 WB @ Dodd Rd,C1115,44.8841,-93.12489
53,I-394 EB @ Winnetka Ave,C908,44.9711,-93.3791
54,I-394 EB @ General Mills Blvd,C907,44.97359,-93.38919
55,I-394 EB @ U.S.169 SB,C906,44.97283,-93.40089
56,I-394 EB @ Co Rd 73,C905,44.97059,-93.42085
57,West River St SB,C1110,44.97774,-93.24739
58,I-394 WB @ Plymouth Rd,C904,44.97124,-93.43985
59,I-394 EB @ I-494 SB,C903,44.97062,-93.46084
60,U.S.12 EB @ Co Rd 15,C902,44.9708,-93.48348
61,U.S.12 WB @ Central Ave,C901,44.97657,-93.50177
62,T.H.62 EB @ Mendota Rd,C1117,44.8822,-93.09121
63,T.H.62 EB @ Delaware Ave,C1116,44.88302,-93.10686
64,U.S.61 NB N of I-90,D6-C338,43.86663,-91.31208
65,U.S.61 SB @ I-90,D6-C339,43.858,-91.30677
66,I-394 EB @ Louisiana Ave,C9081,44.97089,-93.37091
67,I-394 WB @ Glenwood Ave,C919,44.97838,-93.28122
68,I-394 EB @ I-94 SB,C918,44.97449,-93.28826
69,I-394 WB @ I-94,C917,44.97524,-93.28826
70,I-394 EB @ Dunwoody Blvd,C916,44.96926,-93.30185
71,I-394 EB @ Wirth Pkwy,C914,44.96999,-93.32398
72,I-394 EB @ France Ave,C913,44.96991,-93.32773
73,I-394 WB @ T.H.100,C912,44.97122,-93.34042
74,I-394 EB W of T.H.100,C911,44.97014,-93.34288
75,I-394 EB @ Xenia Ave,C910,44.97002,-93.35132
76,T.H.52 SB S of 100th St NW,D6-C001a,44.13435,-92.52559
77,I-394 EB @ 7th St,C920,44.98031,-93.2765
78,6th Ave NB,C1109,44.97938,-93.24297
79,I-394 WB W of Winnetka Ave,C9071,44.9731,-93.38321
80,T.H.13 EB @ Co Rd 5,C1313,44.77234,-93.30509
81,T.H.53 NB (N END VIRGINIA BRIDGE),C30019,47.51554,-92.52616
82,T.H.13 EB @ Nicollet Ave,C1312,44.77736,-93.27792
83,I-35 SB @ 6th Ave E,C35-188,46.79322,-92.09091
84,I-694 EB @ Victoria St,C709,45.05582,-93.1317
85,T.H.13 WB @ Portland Ave,C1311,44.7815,-93.26722
86,I-694 EB @ Lexington Ave,C708,45.05931,-93.14733
87,T.H.13 EB @ Parkwood Dr,C1310,44.78388,-93.25588
88,I-694 NB @ T.H.10,C707,45.0664,-93.16665
