,Station,Lat,Lng
0,no ID,44.00701,-92.48221
1,no ID,45.60591,-94.48746
2,no ID,45.60418,-94.48424
3,no ID,45.60406,-94.48413
4,no ID,45.60404,-94.48405
5,no ID,45.60401,-94.48397
6,no ID,45.60399,-94.48388
7,no ID,45.60396,-94.48378
8,no ID,45.60393,-94.48369
9,no ID,45.60389,-94.48361
10,no ID,45.60384,-94.4834
11,no ID,45.60383,-94.48332
12,no ID,45.60379,-94.48324
13,no ID,45.60378,-94.48316
14,no ID,45.60377,-94.48309
15,no ID,45.60374,-94.48302
16,no ID,45.60373,-94.48296
17,no ID,45.60372,-94.4829
18,no ID,45.6037,-94.48283
19,no ID,45.60326,-94.4796
20,no ID,43.93146,-94.91933
21,no ID,43.93187,-94.91935
22,no ID,45.04359,-95.18623
23,no ID,45.04297,-95.18625
24,no ID,44.90594,-94.05299
25,no ID,44.9047,-94.05296
26,no ID,44.90639,-94.05323
27,no ID,44.90704,-94.05323
28,no ID,45.04471,-95.18639
29,no ID,45.0441,-95.18638
30,no ID,43.93227,-94.91943
31,no ID,43.93203,-94.91944
32,no ID,44.08841,-96.18457
33,no ID,44.08872,-96.18456
34,no ID,44.08924,-96.18463
35,no ID,44.08892,-96.18462
36,no ID,46.90501,-96.74742
37,no ID,46.90503,-96.74649
38,no ID,46.90508,-96.74532
39,no ID,46.90506,-96.74603
40,no ID,47.63263,-92.42381
41,no ID,47.63261,-92.42545
42,no ID,46.28078,-95.87432
43,no ID,46.28116,-95.87432
44,no ID,46.28173,-95.8744
45,no ID,46.2813,-95.87441
46,no ID,47.32387,-95.61554
47,no ID,47.32456,-95.61555
48,no ID,47.32586,-95.61576
49,no ID,47.32478,-95.61571
50,no ID,46.01989,-95.31343
51,no ID,46.0199,-95.31291
52,no ID,44.36568,-94.42548
53,no ID,44.36556,-94.42397
54,no ID,44.36592,-94.42132
55,no ID,44.36574,-94.42309
56,no ID,44.36568,-94.42341
57,no ID,46.01995,-95.31173
58,no ID,46.01995,-95.31254
59,no ID,44.50177,-92.7269
60,no ID,44.50233,-92.7269
61,no ID,44.50342,-92.72675
62,no ID,44.50317,-92.72697
63,no ID,44.50258,-92.72699
64,no ID,44.42787,-95.81647
65,no ID,44.42859,-95.81645
66,no ID,44.42976,-95.8166
67,no ID,44.42909,-95.81659
68,no ID,47.78503,-92.3633
69,no ID,47.78525,-92.36359
70,no ID,47.78647,-92.36511
71,no ID,47.78612,-92.36475
72,no ID,47.78523,-92.36376
73,no ID,44.40672,-92.98055
74,no ID,44.40678,-92.97994
75,no ID,44.40694,-92.97888
76,no ID,44.40686,-92.97964
77,no ID,46.80267,-92.36461
78,no ID,46.80341,-92.36463
79,no ID,46.8055,-92.36482
80,no ID,46.80473,-92.36481
81,no ID,45.93314,-95.3177
82,no ID,45.93314,-95.31616
83,no ID,45.9332,-95.31493
84,no ID,45.93321,-95.31567
85,no ID,44.94926,-95.74561
86,no ID,44.94926,-95.74483
87,no ID,44.94938,-95.74322
88,no ID,44.94938,-95.74404
89,no ID,45.19747,-94.31769
90,no ID,45.19747,-94.31701
91,no ID,45.19746,-94.31555
92,no ID,45.19754,-94.31638
93,no ID,44.9041,-93.97109
94,no ID,44.90465,-93.97105
95,no ID,44.90558,-93.97128
96,no ID,44.90497,-93.97123
97,no ID,46.45502,-95.17632
98,no ID,46.45626,-95.17635
99,no ID,46.45775,-95.17645
100,no ID,46.4567,-95.17643
101,no ID,45.1146,-93.47608
102,no ID,45.11171,-93.47312
103,no ID,45.11154,-93.47306
104,no ID,45.1115,-93.47298
105,no ID,45.11146,-93.47292
106,no ID,45.11143,-93.47287
