,1,Label,Lat,Lng
0,S2,SB 35W from dwtn,44.962590000000006,-93.26997
1,S64,NB 35W to dwtn,44.96239,-93.26959000000001
2,S582,SB 35W to dwtn,44.99115,-93.23659
3,S569,NB 35W from dwtn,44.99116,-93.23629
4,S553,WB 94 to dwtn,44.96436,-93.23804
5,S554,EB 94 from dwtn,44.964220000000005,-93.23944
6,S137,EB 94 to dwtn,44.998979999999996,-93.28296999999999
7,S125,WB 94 from dwtn,44.99888,-93.28265999999999
8,S285,WB 394 from dwtn,44.97002,-93.30761
9,S286,EB 394 to dwtn,44.969770000000004,-93.30785999999999
10,S1129,394 HOV,44.96995,-93.30787
