,1,Label,Type,Order,Lat,Lng
0,S664,NB 35W North of 694,Flow,1,45.07241,-93.18525
1,800,ENT from WB 694,On,2,,
2,861,EXIT to WB 694,Exit,3,,
3,975,ENT from EB 694,On,4,,
4,866,EXIT to EB 694,Exit,5,,
5,S659,NB 35W South of 694,Flow,6,45.06595,-93.18596
6,2729,ENT from 5th Ave,On,7,,
7,S685,NB 35W,Flow,8,45.07251,-93.18555
8,2725,EXIT to 5th Ave,Exit,9,,
9,S657,NB 35W North of HWY 88,Flow,10,45.04845,-93.18875
10,2721,ENT from HWY 88,On,11,,
11,S656,NB 35W South of HYW 88,Flow,12,45.0417,-93.18926
12,2717,ENT from Cty Rd D,On,13,,
13,2713,EXIT to Cty Rd D,Exit,14,,
14,S654,NB 35W,Flow,15,45.02788,-93.19084
15,2709,ENT from Cty Rd C,On,16,,
16,S653,NB 35W at Cty Rd C,Flow,17,45.02218,-93.18969
17,2705,EXIT to Cty Rd C,Exit,18,,
18,S652,NB 35W North of HWY 36,Flow,19,45.01584,-93.18749
19,5327,ENT from Cleveland Ave,On,20,,
20,5326,ENT from HWY 36,On,21,,
21,S575,NB 35W at HWY 36,Flow,22,45.01167,-93.18792
22,S574,ENT from HWY 280,On,23,45.00992,-93.20027
23,S577,NB 35W at HWY 36 Exit,Flow,24,45.01014,-93.2004
24,S587,EXIT to HWY 36,Exit,25,45.00891,-93.20233
25,S573,NB 35W / Industrial Blvd,Flow,26,45.00515,-93.20947
26,2177,ENT from Industrial Blvd,On,27,,
27,2172,EXIT to Industrial Blvd,Exit,28,,
28,S572,NB 35W Flow / Stinson,Flow,29,45.0007,-93.22349
29,2171,ENT from Stinson,On,30,,
30,S571,NB 35W Flow / New Brighton Blvd,Flow,31,45.00199,-93.23465
31,2163,EXIT to Quarry,Exit,32,,
32,S570,NB 35W / Broadway,Flow,33,44.99644,-93.23823
33,S569,NB 35W Flow / Hennepin,Flow,34,44.99116,-93.23629
34,S568,NB 35W Flow / 4th St,Flow,35,44.98399,-93.24197
35,2152,ENT from 4th St,On,36,,
36,6573,ENT from 4th St(2),On,37,,
37,2145,EXIT to 4th St,Exit,38,,
38,2146,Exit to 4th St(2),Exit,39,,
39,S256,NB 35W / Washington,Flow,40,44.97447,-93.2487
40,2144,ENT from Washington,On,41,,
41,2137,Exit to Washington,Exit,42,,
42,2138,Exit to Washington(2),Exit,43,,
43,S566,NW 35W Flow / Dwtn Mpls,Flow,44,44.96743,-93.25369
44,2134,EXIT to CDN1,Exit,45,,
45,2133,EXIT to CDN2,Exit,46,,
46,S557,EXIT to HWY 94 EB,Exit,47,44.96565,-93.25434
47,S565,NB 35W / Shared with EB 94,Flow,48,44.96568,-93.26474
48,S556,NB 35W / Shared with EB 94(2),Flow,49,44.96544,-93.26478
49,S1812,ENT from EB 94,On,50,44.9656,-93.26862
50,S63,NB 35W before HWY 94,Flow,51,44.9625,-93.26916
51,S64,EXIT to WB 94 and MPLS,Exit,52,44.96239,-93.26959
52,S62,NB 35W before HWY 94 and MPLS Exits,Flow,53,44.95539,-93.27022
53,S61,NB 35W / East 29th,Flow,54,44.95176,-93.27332
54,S60,NB 35W / Lake Street,Flow,55,44.9464,-93.27461
55,171,EXIT to Lake Street,Exit,56,,
56,141,ENT from 36th St,On,57,,
57,S59,NW 35W / 36th St,Flow,58,44.93979,-93.27461
58,170,EXIT to 36th St,Exit,59,,
59,S58,NB 35W / south of 36th St,Flow,60,44.93495,-93.27447
60,S57,NB 35W / 42nd St,Flow,61,44.92716,-93.27462
61,129,ENT from 46th St,On,62,,
62,S56,NB 35W / 46th St,Flow,63,44.9199,-93.2746
63,169,EXIT to 46th St,Exit,64,,
64,S54,NB 35W / north of Diamond Lk Rd,Flow,65,44.90693,-93.27476
65,146,Ent from Diamond Lk Rd,On,66,,
66,S53,NB 35W north of DL Exit,Flow,67,44.90194,-93.2748
67,168,Exit to Diamond Lk Rd,Exit,68,,
68,S52,NB 35W After 62 Ent,Flow,69,44.89477,-93.2748
69,S51,NB 35W after 62 EB Exit,Flow,70,44.89041,-93.27683
70,S328,EXIT to EB HWY 62,Exit,71,44.89021,-93.27616
71,S50,NB 35W / Merged with EB 62,Flow,72,44.89026,-93.28816
72,S49,NB 35W after WB 62 Exit,Flow,73,44.88792,-93.29581
73,123,ENT from West 66th St,On,74,,
74,S48,NB 35W / West 66th St,Flow,75,44.88241,-93.29573
75,163,EXIT to West 66th,Exit,76,,
76,S47,NB 35W / 70th St,Flow,77,44.87642,-93.29794
77,S46,NB 35W / 73rd St,Flow,78,44.87102,-93.2987
78,S45,NB 35W / 76th St,Flow,79,44.86681,-93.29888
79,121,ENT from WB 494,On,80,,
80,162,EXIT to WB 494,Exit,81,,
81,120,ENT from EB 494,On,82,,
82,863,EXIT to EB 494,Exit,83,,
83,S43,NB 35W South of 494,Flow,84,44.85709,-93.29809
